,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
60583,GER.02.F,BGR,1991,68.09232,,
60602,GER.02.F,ROU,2015,85.196,,
60916,GER.02.F,ATG,2017,76.54584,,
60956,GER.02.F,ALB,1992,49.74459,,
61010,GER.02.F,GNQ,2012,52.87038,,
61012,GER.02.F,AUS,1977,80.24438,,
61021,GER.02.F,IDN,2009,46.80881,,
61229,GER.02.F,BHR,1995,33.84946,,
61392,GER.02.F,TZA,2008,34.86657,,
62305,GER.02.F,LBR,2014,160.29208,,
62338,GER.02.F,CHN,2014,76.09639,,
62871,GER.02.F,KHM,2005,10.92549,,
62995,GER.02.F,TUV,1998,109.43396,,
63047,GER.02.F,SLV,2013,64.5994,,
63112,GER.02.F,TUR,2009,20.25657,,
63207,GER.02.F,SOM,1974,0.43249,,
63303,GER.02.F,KOR,1983,19.99943,,
63340,GER.02.F,PYF,1994,100.40568,,UIS_EST
63353,GER.02.F,IRL,2013,110.31364,,NAT_EST
64086,GER.02.F,MUS,2007,97.70115,,
64138,GER.02.F,TKL,1982,45.65217,,
64303,GER.02.F,CRI,2002,61.3907,,
64309,GER.02.F,GRD,1971,38.50068,,
64329,GER.02.F,ISL,2002,88.85841,,
64596,GER.02.F,VGB,2005,91.34078,,
64603,GER.02.F,KNA,1989,93.10345,,
65007,GER.02.F,BEN,2004,4.54756,,
65085,GER.02.F,HRV,2005,45.97409,,
65351,GER.02.F,IND,2001,3.33263,,
65588,GER.02.F,JAM,2007,90.70165,,
65624,GER.02.F,BTN,2014,19.38135,,
65660,GER.02.F,MDV,2015,104.96631,,
65811,GER.02.F,NOR,2013,98.63503,,
65931,GER.02.F,GUM,1984,100.24077,,
65968,GER.02.F,ERI,2001,8.64554,,
66193,GER.02.F,JOR,1980,9.52141,,
66404,GER.02.F,ECU,2004,71.40026,,
66424,GER.02.F,GIB,1979,3.65854,,
66469,GER.02.F,EGY,2000,10.57518,,
66508,GER.02.F,CRI,1989,28.33124,,
66619,GER.02.F,CHL,1976,52.93712,,
66702,GER.02.F,CAN,1988,59.0596,,
66800,GER.02.F,CHE,2006,99.79786,,
66826,GER.02.F,FIN,2002,55.40341,,
66891,GER.02.F,SMR,1975,75.65012,,
66934,GER.02.F,DJI,2017,7.23462,,
67137,GER.02.F,GBR,2005,71.96228,,
67142,GER.02.F,CIV,1987,0.84695,,
67446,GER.02.F,GRC,1974,35.51657,,
67519,GER.02.F,PSE,2014,52.4212,,
67591,GER.02.F,LBR,2016,135.10362,,
67634,GER.02.F,ARG,2013,72.84581,,
67711,GER.02.F,WSM,2001,59.74752,,
67803,GER.02.F,MLT,2011,114.69455,,
67900,GER.02.F,SWE,1997,73.35394,,
67922,GER.02.F,SRB,2013,58.52936,,NAT_EST
67954,GER.02.F,KWT,2011,84.08871,,
68057,GER.02.F,CYP,2011,79.12525,,NAT_EST
68070,GER.02.F,IND,1971,1.08511,,
68256,GER.02.F,NAM,1994,9.66188,,
68280,GER.02.F,ITA,2000,97.96139,,
68341,GER.02.F,GRD,1995,66.31154,,
68432,GER.02.F,PSE,2007,34.27783,,
68463,GER.02.F,VNM,2007,61.71579,,
68497,GER.02.F,SVK,2009,89.461,,
68679,GER.02.F,PSE,2010,39.46098,,
68771,GER.02.F,SYR,1999,7.78437,,
68877,GER.02.F,NER,1989,1.21644,,
68974,GER.02.F,SOM,1978,0.5064,,
69257,GER.02.F,BMU,1985,171.23656,,
69345,GER.02.F,GRD,2016,92.00221,,
69429,GER.02.F,KOR,1973,2.2576,,
69605,GER.02.F,AZE,1991,17.37439,,
69674,GER.02.F,TUR,2011,28.41382,,
69805,GER.02.F,ISL,2016,96.18922,,
70048,GER.02.F,ISL,2017,95.56897,,
70159,GER.02.F,BRN,1999,53.20935,,
70211,GER.02.F,PHL,1996,29.74292,,
70215,GER.02.F,KNA,2008,109.58165,,
70233,GER.02.F,JAM,2015,86.76547,,
70368,GER.02.F,TGO,1988,2.85467,,
70380,GER.02.F,NAM,1992,11.95647,,
70394,GER.02.F,PAN,2016,62.27304,,
70636,GER.02.F,ARE,1983,52.45564,,
70668,GER.02.F,CYP,2008,81.92057,,NAT_EST
70694,GER.02.F,FRA,1978,104.29842,,
70726,GER.02.F,PSE,2009,39.66524,,
70762,GER.02.F,MTQ,1992,84.99958,,
70812,GER.02.F,MUS,2004,100.14725,,
70828,GER.02.F,BEN,2006,6.3076,,
70840,GER.02.F,CUB,2016,104.03481,,
70950,GER.02.F,KGZ,1989,33.46407,,
71087,GER.02.F,MUS,2015,106.74206,,
71196,GER.02.F,AUS,1975,75.4814,,
71204,GER.02.F,BEN,1994,2.46356,,
71504,GER.02.F,MDA,1995,47.61455,,
71540,GER.02.F,MYS,2010,82.55571,,
71574,GER.02.F,JOR,1989,16.20089,,
71592,GER.02.F,IRN,1986,6.65074,,
71673,GER.02.F,CAN,1990,61.87344,,
71798,GER.02.F,FIN,2005,59.71249,,
71894,GER.02.F,DNK,2006,95.77221,,
71967,GER.02.F,MYS,2012,86.44227,,
72014,GER.02.F,ROU,1983,56.3735,,
72057,GER.02.F,QAT,2000,27.61765,,
72204,GER.02.F,CRI,1983,23.89596,,
72314,GER.02.F,JOR,1987,14.86748,,
72429,GER.02.F,HND,1981,8.85481,,
72743,GER.02.F,IRL,1976,106.93004,,
72977,GER.02.F,GMB,2010,29.58145,,
73027,GER.02.F,MUS,2014,104.57019,,
73053,GER.02.F,BRN,1983,42.04187,,
73264,GER.02.F,GHA,1984,18.20924,,
73305,GER.02.F,GBR,1990,50.64381,,
73347,GER.02.F,AIA,2001,127.16763,,
